Proposal,Decision,Ward,View
"Codi adeilad newydd ar gyfer 6 uned breswyl, newid defnydd y llawr gwaelod i wagle hyblyg Defnydd Dosbarth A1, A2, A3 a/neu B1 ynghyd ac addasu'r lloriau uwchben i 18 uned breswyl gyda newidiadau ac estyniadau cysylltiedig. 
Erection of new building to accommodate 6 residential apartments,  change of use of building to flexible commercial space on ground floor Use Class A1, A2, A3 and/or B1 and conversion of above floors to 18 residential units with associated extensions and alterations.",,Deiniol (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32251
"Addasiad ac estyniad arfaethedig ynghyd ag addasu'r anecs / storfa bresennol yn llety ychwanegol

Proposed alteration and extension together with adaptation of existing annex/store to additional accommodation",,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32414
"Tocio at uchder bob-docio un onnen aeddfed sydd â salwch gwywo ynn ac sy'n destun Gorchymyn Gwarchod Coed
The topping to pollard of one mature ash tree infected by ash dieback disease which is subject to a Tree Preservation Order.",,Morfa Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32404
Rhannol ddymchwel estyniadau cefn presennol a chodi estyniad unllawr newydd/Part demolition of existing rear extensions and construction of new single storey extension.,,Morfa Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32407
"Estyniad deulawr ochr
Two storey side extension",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32406
"Newid defnydd cae  er mwyn ymestyn y safle carafanau a cynnyddu'r nifer o unedau o 6 i 8
Change of use of field to extend the caravan site and to increase the number of units from 6 to 8",,Llangelynnin,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32408
Gosod bracedi ar gefn yr adeilad a shutters er gosod bordiau llifogydd / Install brackets and shutters to the rear of the building to site flood boards ,,Morfa Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32405
"Dymchwel adeilad allanol a modurdy presennol a chodi estyniad deulawr i'r tŷ gydag adain unllawr cysylltiedig i'r blaen yn cynnwys gweithdy a modurdy dwbl   
Demolition of existing outbuilding and garage and constructi a two storey extension to the dwelling with attached single storey wing to include workshop and double garage",,Penrhyndeudraeth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32403
"Gosod llwyfan bren yng nghefn yr adeilad er mwyn creu  man eistedd allanol i'r caffi   
Install decking at the rear of the building to create an external seating area for the cafe ",,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32402
Cais ar gyfer gwneud gwaith i goeden oddi fewn i Ardal Gadwraeth / Application for works to trees within Conservation Area,,Arllechwedd,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32399
Estyniad un llawr to gwastad yn y cefn/Single storey flat roofed extension at the rear.,,Penisarwaun,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32397
Tŷ newydd / New dwelling,,Penrhyndeudraeth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32400
Estyniad deulawr at gefn ty annedd/Two storey rear extension. Estyniad deulawr at gefn ty annedd.,,Abererch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32398
"Lleoli 3 pod gwyliau hunan gynhaliol, gosod system drin preifat  a gwaith cysylltiedig
Siting of 3 self contained holiday pods, private treatement plant and associated works ",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32401
"Rhyddhau amod 3 (gorffeniad allanol y modurdy) ar ganiatad cynllunio C21/0596/03/LL
Discharge condition 3 (external appearance of garage) on planning permission C21/0596/03/LL",,Bowydd & Rhiw,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32393
"Cais i dorri dwy goeden (Cupressus Macrocarpa) sy'n destun Gorchymyn Gwarchod Coed.

Application to fell two trees (Cupressus Macrocarpa)  that are subject to a Tree Preservation Order. ",,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32395
"Gosod balconi
Erection of a balcony",,Llanaelhaearn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32394
"Rhyddhau amod 13 (Cynllun Argyfwng Llifogydd) ac amod 18 (manylion ffens) ar ganiatad cynllunio C18/0520/44/LL
Discharge condition 13 (Emergency Flood Plan) and condition 18 (fencing details) on planning approval C18/0520/44/LL",,Porthmadog (West),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32391
"CODI TO NEWYDD DROS IARD WARTHEG BRESENNOL
ERECTION OF NEW ROOF OVER EXISTING CATTLE YARD",,Tudweiliog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32396
"Cais i gytuno materion a gadwyd yn ôl yn ymwneud â Gosodiad, Graddfa ac Edrychiad mewn perthynas a chaniatâd cynllunio C18/1079/39/AM ar gyfer codi tŷ a chreu mynedfa gerbydol
Application to agree reserved matters relating to Setting, Scale and Appearance in relation to planning permission C18/1079/39/AM for the erection of a dwelling and the creation of a vehicular access",,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32390
"Estyniad llawr cyntaf i ffurfio ystafell wely en-suite fel llety perchennog
First floor extension to form en-suite bedroom as owners accommodation ",,Abermaw,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32388
Gosod peiriant arian ar flaen yr adeilad/Installation of cash dispensing machine on building's frontage,Withdrawn,Aberdaron,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32389
"Codi estyniad llawr cyntaf uwchben garej bresennol ac estyniad llawr cyntaf i greu trefniant feranda / porth.
Erection of a first floor extension above an existing garage and first floor extension to create a veranda/porch arrangement.",,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32392
Arwydd goleuedig yn gysylltiedig a pheiriant arian newydd i'w osod ar flaen yr adeilad/Illuminated signage relating to a new ATM to be installed on the front elevation,,Aberdaron,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32387
Cais llawn (newid defnydd) i osod wyth carafán fel llety staff am gyfnod dros dro o ddwy flynedd ar safle storio a maes parcio ychwanegol presennol / Full planning application (Change of Use) for the location of eight caravans for staff accommodation for a temporary period of two years on the existing storage and overspill car park area.,,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32386
Gosod cysgodlen bwriedig ar flaen yr eiddo/ Installation of proposed awning on property's frontage,,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32385
"Newid defnydd tir amaethyddol i greu cyfleuster gwersylla a glampio ar gyfer 7 llain pabell, 3 cwt eco a 1 uned toiled/cawod/paratoi bwyd
Change of use of agricultural land to provide camping and glamping facilities for 7no. tent pitches, 3no. Eco huts and 1no.toilet/shower/food prep unit",,Llandderfel,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32384
"Newid defnydd bwyty (dosbarth defnydd A3) i dy annedd (dosbarth defnydd C3)
Change of use of restaurant (A3 use class) to dwellinghouse (C3 use class)",,Tywyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32381
"Adeiladu ystafell gardd ffram bren fel defnydd atodol i'r ty
Erection of timber frame garden room ancillary to the use of the dwelling.",,Tywyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32380
"Amnewid cladin pren, ail doi gyda to fflat, adeiladu estyniad ac amnewid wal ffin
Replacement timber cladding, re-roofing with a flat roof, construction of an extension and replacement of boundary wall.",,Porthmadog (West),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32383
"Gosod 7 golau adeilad LED sy'n wynebu fyny gyda effaith golchiad
Installation of 7 LED wash effect building uplighters",,Porthmadog (East),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32382
Addasiadau mewnol ac allanol i dy tafarn / Internal and external alterations to public house,,Ogwen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32378
Codi estyniad cefn ar ty annedd / Erection of extension to rear of dwelling house ,,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32377
Codi estyniad cefn ar ty annedd / Erection of extension to rear of dwelling house ,,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32379
"Newid defnydd rhan o'r llawr gwaelod a'r lloriau uwch ar gyfer swyddfeydd ac ystafelloedd dysgu ar gyfer defnydd prifysgol a chadw defnydd byw o'r glwb nos. 
Proposed change of use of part of ground floor and of the upper floors into offices & classrooms for university use and the retention of an extant use as nightclub.",,Deiniol (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32375
Porth at flaen ty annedd/ Porch to front of dwelling,,Llanrug,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32376
"Estyniad deulawr cefn a ffenestr gromen
Two storey rear extension and dormer window",,Bowydd & Rhiw,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32374
Codi sied newydd/Erection of a new shed,,Llanwnda,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32371
Cais ar gyfer codi estyniad deulawr ochr a decin ar gefn yr eiddo/ Application for the erection of a two storey side extension and decking to rear of the dwelling,,Deiniolen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32373
Estyniad llawr cyntaf i gefn ty annedd / First floor extension to rear of dwelling house,,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32372
"Estyniad i sied amaethyddol i ddarparu sied /cysgodfan wyna 
Extension to agricultural building to provide livestock shelter/lambing shed",,Penrhyndeudraeth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32365
Cais ar gyfer codi estyniad un llawr i flaen yr eiddo / Application for the erection of a single storey extension to front of dwelling,,Deiniolen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32370
"Dymchwel garej, estyniad cefn, blaen ac ochr i'r annedd presennol a chodi estyniad newydd i'r blaen ac i'r ochr
Demolish an existing garage and extensions to the rear, side and front of the property and construction of a new extension to the front and side",,Tudweiliog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32367
"Codi 6 tŷ ( 2 fforddiadwy), creu mynedfa gerbydol newydd, darpariaeth parcio a gwaith cysylltiedig 
Erect 6 dwellings (2 affordable), creation of new vehicular access, parking spaces and associated works ",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32368
"Codi sied bren / Cwt Ceidwad
Erect timber shed /Rangers Hut",,Porthmadog (West),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32366
"Estyniad tô uwchben tô gwastad modurdy presennol er mwyn cynnwys llawr mezzanine, estyniad i gefn y modurdy a dymchwel estyniad cefn presennol / Roof extension onto existing flat roofed garage to incorporate mezzanine floor, small flat roof extension to rear of garage, and demolition of rear single storey lean-to",,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32369
Cais ar gyfer dymchwel estyniad cefn a chodi estyniad un llawr to un codiad yn ei le ynghyd ac ymestyn llecyn parcio presennol / Application to demolish part of rear extension and erection of single storey lean-to roof extension in its place together with enlargement of existing parking area,,Tregarth & Mynydd Llandygai,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32364
(none),,Tywyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32363
"Adeiladu modurdy dwbl.
Construction of double garage.",,Cwm y Glo,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32362
Cais i godi tŷ deulawr newydd ynghyd â mynedfa a gerddi newydd/Erection of new detached two storey dwelling and associated driveway and garden area.,,Seiont (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32361
Dymchwel lolfa haul presennol a chodi estyniad unllawr at gefn y ty annedd/Demolition of existing conservatory and erection of replacement single storey extension to rear of property.,,Llanwnda,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32359
Dymchwel wal blaen a creu man parcio at flaen y tŷ annedd/ Demolish front wall and create parking area to front of dwelling.,,Llanwnda,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32358
Cais deiliad ty i godi estyniad unllawr ar ochr ty annedd/Erection of a single storey side extension to side of existing dwelling.,,Penygroes,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32360
"Codi 2 uned diwydiannol ynghyd a lleoli 10 cynhwysydd storio.
Erect 2 industrial units together with siting of 10 storage containers. ",,Arllechwedd,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32357
"Diwygio amodau 5 a 6 ar ganiatad cynllunio C20/0076/44/LL i ymestyn y cyfnod y caiff y cytiau pren fod yn agored i gwsmeriaid ac i ymestyn y cyfnod y caiff yr agoriad gweini fod yn agored
Vary conditions 5 and 6 on planning permission C20/0076/44/LL to extend the period that the wooden huts are open to customers and to extend the period that the bar servery hatch can be open",,Porthmadog (East),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32352
Cais ar gyfer codi adeilad er mwyn ei ddefnyddio fel modurdy a swyddfa a parcio cysylltiol / Application to erect a building for use as garage and office and associated parking.,,Penrhyndeudraeth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32356
"Newid amod 2 o ganiatâd cynllunio rhif C20/0222/20/LL er mwyn ail-osod y bloc stablau.
Amend condition 2 of planning permission C20/0222/20/LL so as to re-position the stable block.",,Y Felinheli,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32355
"Defnyddio tir ar gyfer gwersylla / glampio amgen parhaol (9 pod) (Ailgyflwyniad o gais C20/0348/35/LL)
Use of land for permanent alternative holiday glamping / camping facility (9 pod) (Re-submission of application C20/0348/35/LL).",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32353
"Dymchwel tŷ deulawr presennol a chodi annedd deulawr newydd.
Demolition of an existing two storey house and the erection of a new two storey dwelling. ",,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32354
"Adeilad amaethyddol arfaethedig
Proposed Agricultural Building",,Efailnewydd / Buan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32345
"Estyniad a newidiadau ynghyd a modurdy newydd (diwygiadau i ganiatâd cynllunio C19/0071/18/LL).
Extension and alterations together with new garage (amendments to planning permission C19/0071/18/LL).",,Bethel,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32349
Dymchwel sied gardd bresennol a chodi ardal teras newydd yn ei le/ Demolition of existing garden shed and construction of new terrace area.,,Morfa Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32348
Dymchwel y porth blaen presennol a chodi porth newydd yn ei le ynghyd a chreu feranda gorchuddedig. Removal of existing front porch and erect a new porch together with creating a covered veranda.,,Deiniolen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32347
Cais ar gyfer dymchwel adeilad allanol a chodi anecs byw cymorthedig yn ei le / Application for the demolition of outbuilding and erection of assistted living annexe in its place.,,Waunfawr,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32346
"Codi estyniad un llawr.
Erection of single storey extension.",,Penisarwaun,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32351
Cais ar gyfer codi estyniadau 3 llawr blaen a cefn a chodi uchdwr to'r eiddo / Application for 3 storey front and rear extensions and raise roof level of dwelling,,Y Felinheli,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32344
Cais ar gyfer torri a gwneud gwaith i goed sydd oddi fewn i Ardal Gadwraeth Bangor / Application for works and fell trees within Bangor Conservation Area,,Deiniol (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32343
Addasiadau mewnol ac allanol i drosi lloriau uchod yn 2 uned byw / Internal and external alterations to convert upper floors into 2 living units,,Seiont (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32342
"Newid defnydd o gyn siop i uned wyliau
Change of use from former shop to holiday let",,Bowydd & Rhiw,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32340
"Gwaith tocio i dair coeden
Lopping work on three trees",,Porthmadog (West),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32339
"Adeiladu meithrinfa ac ardal chwarae cysylltiedig 
Construct a nursery and associated  play area",,Bowydd & Rhiw,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32336
"Cais ar gyfer rhyddhau amodau 3 (manylion gorffeniad allanol), 4 (Mesurau Osgoi Rhesymol i ymlusgiaid) a 5 (Cynllun Cyfoethogi Bioamrywiaeth) o ganiatâd cynllunio cyfeirnod C21/0211/15/LL / Application for discharge of conditions 3 (external finish details), 4 (Reasonable Avoidance Measures for reptiles) and 5 (Biodiversity Enhancement Plan) of planning permission reference C21/0211/15/LL",Approved (Without Conditions),Llanberis,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32337
"Codi uchder to y tŷ er darparu ystafelloedd llawr cyntaf yng ngofod y to 
Raise roof height of dwelling to provide first floor rooms in roof space ",,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32334
"Adeiladu balconi ar lefel llawr cyntaf ar edrychiad gorllewinol y tŷ
Erect a balcony at first floor level on the West elevation of the house",,Abermaw,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32335
Cais ar gyfer codi estyniad deulawr i gefn yr eiddo / Application for the erection of a two storey extension to rear of dwelling,,Ogwen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32331
Cais ar gyfer gwneud diwygiad ansylweddol i ganiatâd cynllunio C20/0659/15/DT er mwyn ychwanegu porth i ochr yr estyniad / Application for a non-material amendment to planning permission C20/0659/15/DT to add a porch to side of extension,,Llanberis,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32329
Newid y ty gwydr presennol i greu estyniad unllawr at gefn ac ochr y ty annedd/Replace existing conservatory with single storey side and rear extension. ,,Groeslon,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32333
Addasiadau mewnol ac allanol i'r adeilad / Internal and external alterations to the building. ,,Menai (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32330
"Codi porth ar flaen yr eiddo a lolfa haul ar y cefn, ynghyd a newid agoriad ffenestr presennol i ddrws ac ail-agor drws ar y cefn / Erection of porch to front elevation together with a garden room to rear elevation, and change existing window opening to provide a doorway and reinstate doorway to rear.",,Llandderfel,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32332
"Estyniad deulawr
Two storey extension",,Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32328
"Diwygio amod 2 o ganiatâd cynllunio  C20/0802/11/LL (man newidiadau i gynllun safle ac i edrychiadau allanol yr adeilad) ynghyd a newid orau agor o 08:00-23:00 i 10:00-00:00 7 diwrnod yr wythnos.
Amend condition 2 of planning permission C20/0802/11/LL (minor alterations to site layout and external appearance of building) together with amending opening hours from 08:00-23:00 to 10:00-00:00 7 days a week.  ",,Dewi (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32326
Cais amlinellol gyda holl faterion wedi eu cadw ar gyfer codi ty preswyl deulawr / Outline application with all matters reserved for the erection of a two storey dwelling,,Penisarwaun,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32324
"Adeiladu swyddfa gardd oddi fewn i cwrtil yr ardd a lledu'r tramwyfa bresennol y tu draw i'r fynedfa gyda'r briffordd
Construction of a garden office within the curtilage of the garden and the widening of the existing driveway beyond the access to the main highway",,Llandderfel,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32325
"Cais am dystysgrif Defnydd Cyfreithiol ar gyfer cartref gofal, cegin ganolog, ystafell fwyta cymunedol, swyddfeydd, eglwys, hundy sgowtiaid, llyfrgell, neuadd a siop, gardd goffa a gofod agored, llety byw yn cynnwys 103 uned preswyl hunan gynhaliol (mewn defnydd gan preswylwyr a staff fel eu prif fan byw), 4 llety ymwelwyr hunan gynhaliol gyda 17 ystafell.
Application for a Lawful Use Certificate relating to a care home, central kitchen, shared dining room, offices, church, Scout dormitories, library, hall and general store, memorial garden and open space, residential blocks comprising 103 self-contained residential units (used by residents and staff as their main place of residence), and four self-contained visitor accommodation units with 17 rooms.",,Llanbedrog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32327
"Dymchwel y porth presennol, creu lolfa wydr yn y cyswllt rhwng y prif dy a'r adeilad allanol gyda teras o'i flaen gan greu llofft ychwanegol o fewn yr adeilad allanol gyda mynediad o'r cyswllt newydd
Demolish existing porch, create conservatory with terrace in front to link main house with outbuilding and creation of new bedroom within outbuilding with access from the new link",Approved with Conditions,Dolbenmaen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32319
Estyniad unllawr ac addasiadau/Single storey extension and alterations,,Abererch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32315
Estyniad unllawr at ochr y ty ynghyd â porth at gefn y ty/ Single storey extension to the side of dwelling long with a porch to the rear. ,,Efailnewydd / Buan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32316
Cais deiliad tŷ i godi estyniad deulawr at ochr y ty annedd ynghyd â estyniadau unllawr at blaen a cefn y ty annedd/ Householder application for the erection of a two storey extension to side of dwelling along with single storey extensions to the front and rear of dwelling.,,Talysarn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32313
Dymchwel tŷ gwydr presennol ac ail-adeiladu estyniad unllawr at ochr y tŷ annedd/Demolition of existing conservatory and construction of new single storey extension to side of dwellinghouse.,,Groeslon,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32314
